SKU,STOCK,NB_VENTES,DAYS_SINCE_LAST_SALE,CLUSTER_NAME
1001,50,5,16,Actif
1002,60,2,23,Actif
1003,25,0,9999,Dormant
2001,8,3,11,Actif
2002,6,0,9999,Dormant
2003,4,1,88,Intermédiaire
3001,2,1,16,Intermédiaire
3002,7,0,9999,Dormant
4001,12,0,9999,Dormant
4002,30,0,9999,Dormant
4003,22,0,9999,Dormant
5001,10,0,9999,Dormant
5002,35,0,9999,Dormant
5003,14,0,9999,Dormant
5005,15,0,9999,Dormant
5006,20,0,9999,Dormant
6001,28,0,9999,Dormant
6002,15,0,9999,Dormant
6003,30,0,9999,Dormant
6004,20,0,9999,Dormant
7001,18,0,9999,Dormant
7003,6,0,9999,Dormant
